Country,Alcoholic Beverages,Animal Products,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Sugar Crops,Sugar & Sweeteners,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Miscellaneous,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit (all except Population)
Kyrgyzstan,0.0469,20.2308,0.0996,0,21.0511,0.7441,0.1992,0.2344,6.7378,11.3136,1.1425,0.041,1.992,0.0586,2.408,0.3515,0,0,0.3222,29.7633,0.0059,3.158,0.0996,15.4,7.1,1.28892933,0.021580224,1.236609039,0.030740067,6594000,%
Lao People's Democratic Republic,0.0541,12.0786,0.1082,0,25.5153,0.3365,4.531,1.971,5.9912,0.2644,0.8473,1.8629,0.9555,0.4086,0.5408,1.941,0.0541,0,0.012,37.9184,0.006,4.4408,0.1622,4.5,16.5,0.000621375,0,0.000566142,5.52E-05,7242000,%
Latvia,0.6062,28.578,0.7346,0,14.2299,1.8802,3.9608,0.4623,10.7367,10.449,0.8168,0.3493,0.0205,0.036,2.7689,0.6627,0,0.0051,0.3134,21.4168,0.0257,1.8031,0.1438,25.7,<2.5,3.749737119,0.069768665,3.122975815,0.556992639,1902000,%
Lebanon,0.0517,15.0004,0.0443,0,23.269,0.4581,1.6922,1.2266,6.9608,5.4607,0.3769,1.2636,2.8671,0.0961,0.9754,0.7389,0,0,1.2414,35.0107,0.0148,2.9705,0.2808,31.3,11,4.656937729,0.052190476,2.947062271,1.657684982,6825000,%
Lesotho,0.2653,9.5357,0.0078,0,32.4932,0.2107,0.4292,0.1795,5.9227,1.7948,1.1705,0.3043,4.1826,0.2107,1.9586,0.0624,0,0,0.0078,40.4682,0,0.7101,0.0858,13.5,13.1,0.437908497,0.008543417,0.126330532,0.303034547,2142000,%
Liberia,0.0752,12.2556,0.0251,0,28.6591,0.4386,2.0677,1.2406,8.3208,0.3258,1.0902,1.6416,0.5639,0,3.8722,0.0501,0.0627,0,0.1504,37.7318,0.0125,1.2406,0.1754,8.6,37.2,0.038671412,0.001660735,0.034994069,0.002016607,5058000,%
Lithuania,0.5273,30.7649,0.2077,0,12.858,1.7655,3.9345,0.3915,11.2483,13.0577,0.5512,0.3435,2.2808,0.1758,0.8588,0.4194,0,0.004,0.2317,19.2371,0.02,1.0785,0.0439,28.4,<2.5,6.667072298,0.1047602,4.939620616,1.622691482,2794000,%
Luxembourg,0.594,31.7713,0.2452,0.0047,10.4804,2.3148,3.9602,0.7732,14.1577,10.6124,0.4762,0.3253,0.2357,0.165,0.8486,2.5364,0,0.0047,0.0471,18.2264,0.0189,1.8717,0.33,24.2,<2.5,8.150632911,0.09335443,7.661550633,0.395727848,632000,%
Madagascar,0.0931,10.7114,0.0349,0,31.1678,0.2212,1.7813,0.8849,5.3906,2.3169,0.978,0.1746,2.1423,0.1281,3.4696,0.3842,0.0466,0,0.0466,39.2828,0,0.7219,0.0233,4.5,44.4,0.068849085,0.00101477,0.065779495,0.002054819,27691000,%
Malawi,0.1544,8.4246,0.0956,0,23.98,0.2352,2.0731,1.4335,4.9548,0.2646,0.8013,3.2713,6.6676,0.0441,4.7048,0.0809,0,0,0.0368,41.5717,0,1.1836,0.0221,4.7,17.5,0.140486147,0.004375327,0.059320439,0.076790382,19130000,%
Malaysia,0.0824,27.3712,0.0634,0.0127,16.6065,3.5735,10.562,0.4055,11.3603,1.527,0.2724,0.6273,1.0518,0.9314,0.3738,0.1901,0,0,0.1457,22.6256,0.0063,1.7741,0.4372,15.3,2.5,0.728229767,0.002614319,0.57036088,0.155254568,32781000,%
Maldives,0.0367,30.0398,0.0612,0,13.4537,2.1107,18.0789,0.6363,4.9373,4.8394,0.0061,0.3793,0.312,0.6608,0.4283,0.52,0.0245,0.0061,1.0523,19.9633,0.0061,1.762,0.6852,7.9,10.3,3.078743068,0.009981516,2.690573013,0.37818854,541000,%
Mali,0.2414,13.6564,0.0177,0,27.6544,0.1178,1.325,0.4534,5.6063,5.6769,0.9069,1.2131,3.5923,0.1354,0.7479,0.1237,0,0.0059,0.3651,36.3465,0,1.7667,0.0471,7.1,6.3,0.040294306,0.001669053,0.02989482,0.008730433,20251000,%
Malta,0.2579,28.7765,0.0688,0,13.735,1.6073,3.6271,0.5845,13.9886,9.1968,0.2836,0.5802,1.0314,0.0774,0.7005,0.6188,0,0,0.3696,21.2257,0.0215,3.1501,0.0988,31,<2.5,3.55862069,0.053448276,3.045210728,0.459961686,522000,%
Mauritania,0,18.4403,0.0188,0,25.3429,0.451,1.6348,0.2318,7.2346,7.9737,1.1275,0.3257,3.8334,0.0125,0.238,0.5951,0,0,0,31.5565,0.0063,0.8331,0.1441,11.3,10.4,0.36111828,0.009139785,0.343763441,0.008215054,4650000,%
Mauritius,0.2315,21.8521,0.0508,0.0056,20.5138,1.0277,4.122,0.3614,10.5364,5.7538,0.3444,0.7849,3.2693,0.367,0.4404,0.3783,0,0,0.1016,28.1536,0.0169,1.3326,0.3557,11.5,6.5,0.046166008,0.000790514,0.042687747,0.002687747,1265000,%
Mexico,0.2784,23.4422,0.0107,0.0161,19.3737,2.8587,2.3287,0.9047,11.1188,5.6906,1.4186,0.6906,3.1103,0.3533,0.3051,0.0803,0,0.0428,0.1445,26.5578,0.0214,1.2473,0.0054,28.4,3.6,1.507199199,0.129731126,1.159804996,0.217663078,127792000,%
Mongolia,0.2367,34.0697,0.1092,0,13.0902,0.7768,0.1032,0.085,19.8082,9.7706,3.5016,0.091,0.1456,0.0061,0.8011,0.4005,0,0,0.0243,15.9303,0.0182,0.8618,0.1699,19.6,13.4,0.06019042,5.95E-05,0.043112169,0.017018744,3361000,%
Montenegro,0.1588,30.3005,0.0882,0,13.7184,1.5576,1.6591,0.9134,11.5386,14.9495,0.5074,0.3221,1.2399,0.0529,0.5074,0.8207,0,0.0044,0.2647,19.6973,0.0176,1.3502,0.3309,24.9,<2.5,10.40819936,0.134405145,9.039871383,1.23392283,622000,%
Morocco,0.0204,13.9914,0.0255,0,29.9052,0.9892,3.248,0.8464,6.5725,2.5342,0.6272,0.0816,1.5552,0.3161,0.9994,0.3518,0,0,0.4844,36.0086,0.0051,1.4175,0.0204,25.6,3.4,1.321111482,0.023311638,1.2625751,0.035224744,35952000,%
Mozambique,0.1562,8.7767,0,0,24.9634,0.5467,3.251,0.576,3.0265,1.562,0.4003,0.6248,7.654,0.0098,5.7796,0.2831,0,0,0.2343,41.2184,0,0.8591,0.0781,6,27.9,0.141538856,0.00144709,0.085959058,0.054132709,31166000,%
Myanmar,0.0161,23.9286,0.0911,0,16.0006,0.8517,8.7797,0.4018,10.2743,3.2248,0.6964,1.6285,4.5961,0.4339,0.2786,0.3107,0,0.2625,0.2464,26.0767,0,1.8213,0.0804,5.7,10.6,NA,NA,NA,NA,54704000,%
Namibia,0.386,18.3127,0.0483,0.008,19.5191,0.3217,2.7586,0.4343,9.6107,4.6244,0.941,0.4745,4.1338,0.3458,5.0828,0.2493,0,0,0.0402,31.6873,0.0241,0.764,0.2332,15,27.3,1.371271153,0.014600551,1.312829595,0.043841007,2541000,%
Nepal,0.0407,8.5877,0.0271,0,28.0559,0.3934,0.5698,0.6105,3.1407,3.7648,0.6919,0.1628,5.0943,1.1328,2.4556,0.1018,0.0814,0.0068,0.156,41.4055,0.0068,3.4866,0.0271,3.8,8.7,0.906140819,0.006784238,0.89282571,0.006530871,29996000,%
Netherlands,0.3823,32.7073,0.0573,0.0048,10.9008,2.1075,3.264,0.9319,13.3333,13.7921,0.1481,0.1864,0.4731,0.1625,1.6487,0.3393,0,0.0048,0.5926,17.2903,0.043,1.6296,0,23.1,<2.5,5.815291693,0.08283048,0.076063434,5.656397779,17467000,%
New Caledonia,0.3262,29.179,0.1873,0.0181,13.6531,1.6915,3.9207,0.6585,15.3749,7.2857,0.7008,1.2143,0.5739,0.0967,0.7431,0.4591,0,0,0.1087,20.824,0.0362,1.764,1.1841,NA,7.1,NA,NA,NA,NA,295000,%
New Zealand,0.3023,28.5384,0.1539,0.0165,14.1043,1.6765,3.6498,0.6651,18.0949,4.4303,0.5222,1.2917,1.1983,0.1154,1.1763,0.3463,0.0055,0.0055,0.5497,21.4533,0.011,1.693,0,32,<2.5,0.046520954,0.000501303,0.04469621,0.001323441,4987000,%
Nicaragua,0.0907,16.6679,0.0302,0,23.8869,1.1188,1.217,0.4158,7.5894,5.9264,0.7786,0.9902,6.1607,0.0076,0.4611,0.0832,0,0,0.0076,33.3359,0.0076,0.8542,0.3704,21.8,17,0.095497271,0.00257732,0.064053972,0.028865979,6596000,%
Niger,0.0061,7.6195,0.0244,0,22.2968,0.0427,0.3602,0.2686,3.1321,3.474,0.5922,4.1028,13.1876,0.1587,0.2625,0.0549,0,0,0,42.3774,0,2.0209,0.0183,4.7,16.5,0.01900864,0.000682128,0.016329737,0.001996775,24189000,%
Nigeria,0.456,6.3757,0.0089,0,24.4299,0.6349,2.3786,0.7154,2.4323,0.5991,0.3219,3.0135,5.723,0.5097,5.9734,0.0179,0,0,0.2236,43.6287,0,2.5306,0.0268,7.8,13.4,0.067547298,0.000798972,0.054602212,0.012146114,206140000,%
North Macedonia,0.2603,20.409,0.0558,0,17.4032,1.0226,0.9854,0.9173,8.3173,9.0796,0.9482,1.159,1.8903,0.4648,1.6362,0.9049,0,0,0.3967,29.5941,0.0248,4.3694,0.1611,23.9,3.2,4.548028846,0.140192308,4.025721154,0.382115385,2080000,%
Norway,0.3223,29.2815,0.3132,0,11.9831,1.6431,6.7042,0.6763,10.4943,9.7681,0.3586,1.1075,1.6704,0.0545,1.044,1.0894,0,0,0.3677,20.7208,0.1135,1.1983,1.0894,25,<2.5,1.200167069,0.010803787,0.334100613,0.855262669,5387000,%
Oman,0.0294,24.7856,0.0294,0,16.4454,1.4155,4.5695,2.4257,9.462,8.6221,0.6872,0.2819,1.439,0.5697,0.6402,0.3759,0,0,0.1762,25.2203,0.0059,2.6724,0.1468,22.9,6.8,2.865287503,0.032505835,2.700318269,0.132463399,4713000,%
Pakistan,0,21.0264,0.0604,0,20.8679,0.7472,0.4151,0.2868,4.483,14.6868,0.634,2.3547,2.9509,0.4075,0.566,0.3019,0.0377,0.0226,0.1057,28.9736,0.1132,0.9358,0.0226,7.8,20.3,0.250961347,0.005416403,0.230941432,0.014603512,220940000,%
Panama,0.4278,26.5459,0.1006,0.0063,16.5629,1.0316,3.1075,0.9058,13.7447,7.3725,1.1889,1.3776,2.0759,0.0315,0.4466,0.3208,0,0.0126,0.1258,23.4447,0.0315,0.6605,0.4781,22.5,10,7.622320803,0.127363997,6.773850105,0.721106701,4283000,%
Paraguay,0.4165,23.353,0.1458,0,15.4044,2.2839,0.8678,0.6178,13.2107,4.665,2.1798,1.201,3.5196,0.0347,1.8813,2.5824,0,0,0.0069,26.6435,0.0069,0.8469,0.1319,19,10.7,1.896664369,0.038690558,1.562591316,0.295382495,7255000,%
Peru,0.2423,18.8205,0.0064,0,18.8078,1.5493,4.6541,0.7013,7.6251,3.4173,1.5684,1.7469,3.685,0.0446,3.634,0.5802,0,0,0.0446,31.1763,0.0128,1.6066,0.0765,19.1,9.7,3.573741774,0.127751036,3.310513649,0.13547709,32824000,%
Philippines,0.1914,20.5089,0.3191,0,23.277,1.0211,6.6369,1.2763,9.6682,1.6273,1.2444,0.694,0.6063,0.0798,0.6142,0.4068,0,0.0319,0.2632,29.4911,0,1.9863,0.0558,6,13.3,0.488698771,0.010138619,0.44575702,0.032803132,109581000,%
Poland,0.7325,26.8833,0.5045,0,16.5268,1.0235,2.6777,0.4657,15.7313,6.8785,0.0728,0.2619,0.5918,0.0534,2.1635,0.3056,0,0,0.1601,23.1142,0.0631,1.79,0,25.6,<2.5,4.02817452,0.101631568,3.392334758,0.534208194,38368000,%
Portugal,0.2926,31.7568,0.3581,0,11.8389,1.166,6.7383,0.8385,14.695,7.8606,0.9389,0.1528,0.8472,0.0437,1.2402,0.6201,0,0.0044,0.3275,18.241,0.0393,1.9564,0.0437,23.2,<2.5,7.429605071,0.13607021,5.84683569,1.446699171,10255000,%
Republic of Moldova,0.3236,24.3154,0.2052,0,20.4719,1.8388,2.557,0.513,9.9676,9.0285,0.7182,0.1026,0.363,0.0158,1.5784,0.2525,0,0,0.0316,25.6886,0.0158,1.8073,0.2052,20.1,NA,4.646195191,0.099858557,4.333691655,0.212644979,3535000,%
Romania,0.5856,24.4846,0.0656,0,17.4756,2.0943,0.7871,0.6559,9.8154,10.9445,0.7777,0.253,0.595,0.417,2.0287,0.417,0,0.0141,0.1921,25.5201,0.0187,2.7314,0.1265,24.5,<2.5,3.863328309,0.097754794,3.583358453,0.182215062,19241000,%
Russian Federation,0.3436,27.3905,0.0834,0,16.2085,2.3071,3.2496,0.4123,12.6006,8.1632,0.9817,0.3682,0.7559,0.0344,2.4102,0.3534,0,0.0049,0.0393,22.6095,0.0245,1.615,0.0442,25.7,<2.5,2.663104414,0.051120062,2.316142245,0.295842108,146733000,%
Rwanda,0.5486,7.3852,0.0084,0,9.2421,0.0928,2.1185,3.8656,3.0047,1.6796,0.4895,2.0594,18.2478,0.0675,7.6384,0.0506,0,0,0,42.6148,0,0.8693,0.0169,4.8,36.8,0.12613496,0.001675417,0.093012662,0.031446881,12952000,%
Saint Kitts and Nevis,0.3183,32.0169,0.1104,0,10.9516,0.7795,5.177,0.8444,19.6622,5.151,1.1432,0.8639,2.28,0.1884,0.708,0.1234,0,0,0.2079,17.9799,0.0585,0.8574,0.5781,23.1,NA,0.074074074,0,0.066666667,0.007407407,54000,%
Saint Lucia,0.3355,30.1926,0.0578,0,12.7653,0.5784,5.437,0.7577,18.0172,4.795,1.3072,0.856,2.3367,0.3297,0.6709,0.2082,0,0,0.1504,19.8161,0.0463,0.9312,0.4107,19.8,NA,0.996153846,0.00989011,0.480769231,0.505494505,182000,%
Saint Vincent and the Grenadines,0.1677,27.105,0.028,0,14.0613,0.738,2.9408,1.3195,17.9582,4.8362,0.6094,0.5591,2.8682,0.3075,1.1741,0.3522,0,0,0.1118,22.8894,0.028,1.4481,0.4976,23.8,5.7,1.082882883,0.002702703,0.361261261,0.718918919,111000,%
Samoa,0.1866,30.9096,0.1341,0.1341,8.4665,0.4023,7.3761,1.6968,19.3878,2.793,0.6822,3.5918,0,0.1574,3.586,0.5248,0,0.0058,0.0292,19.0904,0.0058,0.5364,0.3032,45.5,2.7,0.001,0,0.001,0,2.00E+05,%
Sao Tome and Principe,0.0672,15.2065,0.0576,0,22.1614,0.1921,8.3285,4.6494,4.9952,1.5178,0.1153,3.1412,2.2094,0.0576,1.6523,0.0288,0,0,0.0096,34.7935,0.0192,0.586,0.2113,10.6,7,0.643333333,0.008571429,0.504761905,0.13,210000,%
Saudi Arabia,0,21.1377,0.1371,0,22.5827,1.1194,1.7362,1.2279,11.3199,6.3967,0.4284,0.2741,1.8276,0.4112,0.3141,0.4512,0,0,0.2799,28.8594,0.0057,1.0966,0.3941,35,7.1,1.055794641,0.018255758,1.030898091,0.006640792,35041000,%
Senegal,0.0247,10.7308,0.0165,0,31.8542,0.3877,4.19,0.2309,4.3632,1.0805,0.7011,2.3095,2.095,0.1567,0.6186,0.2062,0,0,0.1485,39.2692,0.0165,1.5589,0.0412,7.4,11.3,0.170144529,0.004031295,0.139106546,0.027006689,16744000,%
Serbia,0.4242,24.2531,0.0545,0,19.2473,1.6847,1.1272,0.8666,10.9024,9.4722,1.006,0.5394,0.9878,0.0667,0.9999,0.5697,0,0.0061,0.2242,25.75,0.0364,1.7575,0.0242,23.5,5.7,5.840908438,0.059105936,0,5.781802501,6957000,%
Sierra Leone,0.0359,11.9253,0,0,24.7486,0.3592,6.5733,0.449,2.694,1.9037,0.3951,2.3527,5.0916,0.1976,2.9813,0.1437,0,0,0.2335,38.0747,0.009,1.7241,0.1078,7.5,25.6,0.047285947,0.000990347,0.030738373,0.015557227,7977000,%
Slovakia,0.7973,29.4291,0.9807,0,12.8688,3.0856,2.1049,0.606,13.8574,8.2842,1.1162,0.9727,0.6697,0.1515,1.7621,0.6618,0,0.0159,0.3189,20.5789,0.0558,1.5468,0.1355,22.4,3.4,4.792640059,0.094013182,4.361424387,0.33720249,5462000,%
Slovenia,0.5488,27.4912,0.6606,0,15.5089,1.5092,1.6515,0.7978,12.7954,9.9853,0.8842,0.4624,0.6301,0.1779,1.1179,0.8689,0,0.0051,0.498,22.5062,0.0356,1.6769,0.188,22.5,<2.5,8.235901094,0.171754636,7.312933904,0.751212553,2103000,%
Solomon Islands,0.1398,14.7782,0.0839,0.0186,15.0205,0.3168,9.1129,0.5498,3.9415,1.0622,0.2423,1.9847,5.4603,0.1398,10.9672,0.1677,0,0,0.0839,35.2218,0,0.4752,0.2329,20.5,8.9,0.002377622,0,0.001398601,0.000979021,715000,%
South Africa,0.4676,20.7182,0.006,0,24.8966,1.2409,0.9712,0.2278,13.914,2.9615,1.6246,1.157,0.6235,0.1319,0.7793,0.1679,0,0,0.03,29.2848,0,0.7973,0,27,6.2,2.471489904,0.077446837,2.248099886,0.145943181,59628000,%
Spain,0.4855,31.0583,0.0607,0,11.2506,2.012,5.7607,0.7096,15.2747,7.2732,0.6769,0.6022,1.3631,0.0187,1.1157,0.6396,0,0.0047,0.6302,18.9394,0.014,2.1101,0,27.1,<2.5,6.176110003,0.128867429,0.315683846,5.731558728,47635000,%
Sri Lanka,0.0699,14.5498,0,0,23.7396,1.0176,7.4963,0.5438,2.4314,3.2083,0.3884,2.4703,4.4589,1.3284,0.4816,0.6448,0,0,0.1631,35.4541,0,1.5148,0.0388,5.4,9,0.312604276,0.001600036,0.285335278,0.025668961,21937000,%
Sudan,0,15.5619,0.0147,0,23.8327,0.2578,0.2283,0.9648,5.9434,8.2192,0.9059,1.7823,5.0302,0.0884,0.5082,0.2504,0.0295,0,0,34.4307,0,1.9296,0.0221,7.4,20.1,0.067581929,0.004175694,0.049702388,0.013703847,43849000,%
Suriname,0.2987,20.4911,0.0166,0,20.7234,1.4186,3.924,1.3274,11.2992,3.559,0.2821,1.7007,1.0204,0.0747,0.8794,0.3484,0.0166,0,0.0581,29.5006,0.0249,2.4224,0.6139,26.5,8.5,1.429752066,0.026446281,1.318016529,0.085289256,605000,%
Sweden,0.3591,31.5441,0.527,0,12.2651,1.9867,3.9873,0.5829,13.3004,11.7101,0.028,0.5363,0.499,0.1213,1.054,1.0679,0,0.0047,0.3591,18.4582,0.0933,1.3431,0.1726,22.1,<2.5,5.666975041,0.116748579,0,5.550226462,10377000,%
Switzerland,0.408,30.6026,0.0732,0.0052,13.2925,1.674,2.2651,0.7951,11.7127,14.1191,0.7585,0.4447,0.5964,0.1151,0.9207,0.2459,0,0.0105,0.8684,19.3974,0.0209,1.674,0,21.2,<2.5,6.160215427,0.111257818,3.678480426,2.370477183,8634000,%
Taiwan*,0.2391,24.758,0.035,0.0175,12.9738,2.4082,4.5073,0.7813,14.793,2.4431,0.5598,6.0058,0.9329,0.2041,0.2391,0.3557,0.0117,0,0.5364,25.2362,0.0058,2.8571,0.0991,NA,3.5,0.003913596,3.81E-05,0.003570521,0.000304956,23610000,%
Tajikistan,0.009,12.1401,0,0,28.2246,0.6499,0.0903,0.5777,5.5601,4.8921,0.9568,0.6679,1.4803,0.0903,1.2546,0.2437,0,0,0.1354,37.8554,0.009,5.0546,0.1083,12.6,NA,0.141139039,0.000954502,0.140184537,0,9429000,%
Thailand,0.336,21.4555,0.0246,0.0328,19.8574,3.188,8.2855,0.9916,7.3431,2.0406,0.5491,1.9423,1.2375,1.8604,0.4507,0.3524,0,0,0.1147,28.5363,0.0164,1.3522,0.0328,10.8,7.8,0.035126402,0.000118736,0.025463673,0.009543993,66534000,%
Timor-Leste,0.0433,13.5655,0.104,0,26.8711,0.2166,1.9491,0.2685,10.6289,0.2772,0.3812,2.157,3.6036,0.0866,1.0135,1.2474,0,0,0,36.4432,0.0087,0.9356,0.1992,2.9,24.9,0.006069803,0,0.004628225,0.001441578,1318000,%
Togo,0.096,8.0251,0.0174,0,26.0904,0.2355,2.739,0.1221,3.9428,0.82,0.2791,1.4567,7.8768,0.1483,4.9721,0.1396,0,0,0,41.9749,0,0.8636,0.2006,7.1,16.1,0.065660104,0.000954222,0.054777147,0.009928735,8279000,%
Trinidad and Tobago,0.0945,24.9557,0.0532,0,16.7277,0.7442,4.0579,0.4725,13.5735,5.9657,0.5611,1.0514,3.2369,0.4135,1.0573,0.2008,0,0,0.2067,25.0443,0.0413,0.9864,0.5552,19.7,5.5,0.556026297,0.009861213,0.529948868,0.016216216,1369000,%
Tunisia,0.0657,14.2467,0.0909,0,25.144,1.1367,1.7834,0.8285,5.3804,5.4865,0.3688,1.1013,2.3795,0.3587,0.6366,0.4193,0,0,0.8538,35.7583,0.0657,3.8547,0.0404,27.3,4.3,1.817215871,0.060205111,1.453303631,0.303707128,11896000,%
Turkey,0.0692,17.6686,0.0395,0,20.5038,1.1558,0.6866,0.9879,7.2808,8.1403,0.3655,0.652,3.4675,0.3803,1.0768,0.5335,0,0.0049,0.8298,32.3339,0.0692,3.7145,0.0395,32.2,<2.5,3.015137872,0.031867633,2.881050193,0.102220046,83737000,%
Turkmenistan,0,21.5563,0.0485,0,24.3242,1.1201,0.4685,0.4254,12.3586,7.3613,0.1992,0.1992,0.4739,0.0054,0.7485,0.2746,0,0,0.0592,28.4437,0.0162,1.8255,0.0915,17.5,5.4,NA,NA,NA,NA,6031000,%
Uganda,0.7449,10.3906,0.0382,0,13.7809,0.2388,3.2184,2.6168,3.2948,3.0465,0.5539,2.6454,14.9938,0.0478,3.7341,0.0382,0,0,0,39.6046,0,0.9932,0.0191,4.1,41,0.087057563,0.000714895,0.031370106,0.054972563,45741000,%
Ukraine,0.3075,21.693,0.0696,0,20.3469,2.4542,1.8276,0.4525,9.074,7.6004,0.6672,0.0174,0.6672,0.0348,3.336,0.2031,0,0,0.1741,28.307,0.0464,2.692,0.029,26.1,3.5,3.075922734,0.059205802,2.653382163,0.363334769,41778000,%
United Arab Emirates,0,20.4155,0.0606,0,16.2513,1.0294,2.9531,0.885,10.3405,5.4823,0.5496,0.8803,7.5411,0.5962,0.2189,0.2282,0,0,0.9875,29.5822,0.0047,1.756,0.2376,29.9,2.6,3.307445285,0.009347515,3.079167519,0.218930252,9778000,%
United Kingdom,0.4758,28.108,0.0673,0,13.8546,1.6724,2.5181,0.7256,14.5754,8.8375,0.4325,0.7353,1.0909,0.173,1.9607,0.7785,0,0.0048,0.2979,21.8944,0,1.4657,0.3316,29.5,<2.5,5.868482728,0.167220071,0.01516081,5.686101846,67160000,%
United Republic of Tanzania,0.5436,7.8113,0.0084,0,19.244,0.0836,1.8567,1.4636,2.9857,2.877,0,2.9355,12.3693,0.0753,3.9977,0.0585,0,0.0084,0.092,42.1845,0,1.3883,0.0167,7.1,30.7,0.000852111,3.52E-05,0.000306358,0.000510597,59734000,%
United States of America,0.2946,32.4775,0.0264,0.0044,10.4594,2.0048,2.3873,0.5935,18.0875,9.8791,0.0879,1.2706,1.0332,0.1231,1.064,0.6331,0,0.0747,0.4924,17.5247,0.0835,1.3981,0,37.3,<2.5,8.15992185,0.140103008,0,8.019818842,329878000,%
Uruguay,0.1599,26.7144,0.0178,0,16.4397,1.9187,1.5693,0.6573,11.7731,10.9203,0.5152,0.6455,1.06,0.0415,1.0897,1.6878,0,0.0059,0.0533,23.2856,0.0296,1.2496,0.1658,28.9,<2.5,1.269102237,0.013622203,1.089464741,0.166015293,3531000,%
Uzbekistan,0.0588,20.0246,0.0374,0,23.3709,1.0317,0.3582,0.7698,7.1952,10.5736,0.8286,0.1336,0.0107,0.016,1.2509,0.1604,0,0,0.1657,29.9781,0.0053,3.9985,0.0321,15.3,6.3,0.231301574,0.001817171,0.226751331,0.002733072,34174000,%
Vanuatu,0.0078,19.8713,0.0863,0,14.6387,0.6119,6.8016,1.1532,9.8533,1.6082,0.91,6.6761,0.0078,0.1177,5.7347,0.0863,0,0,0.0157,30.1247,0.0078,1.5847,0.102,23.5,7.2,0.000311526,0,0.000311526,0,321000,%
Venezuela (Bolivarian Republic of),0.1955,22.5411,0.1244,0,21.6526,0.8707,2.6477,1.0662,11.8347,6.3083,0.7641,0.0444,1.9369,0,1.1195,0.3287,0,0.0178,0,27.4545,0.0533,1.0129,0.0267,25.2,21.2,0.452585093,0.004286961,0.424398673,0.023899459,28645000,%
Vietnam,0.1555,20.4466,0.1555,0.0056,18.5247,0.7665,5.7435,0.7165,11.0426,1.0887,1.6442,3.7994,0.9387,0.5221,0.2333,0.5444,0.0167,0.0056,0.3277,29.5617,0,3.7216,0.0389,2.1,9.3,0.002063217,3.64E-05,0.001525845,0.000500993,96209000,%
Yemen,0,10.0122,0.0188,0,35.1179,0.432,0.9392,0.4884,5.9453,1.963,0.7232,0.2254,2.9398,0.0657,0.2066,0.3193,0,0,0.0188,39.9831,0,0.5448,0.0564,14.1,38.9,0.007131362,0.002061959,0.004787769,0.000281633,29826000,%
Zambia,0.4824,9.8925,0.0338,0,28.5182,0.5839,3.0126,0.0931,4.3158,1.0324,0.9139,8.0562,0.6431,0.0846,1.2863,0.0762,0,0,0,40.1117,0,0.8039,0.0592,6.5,46.7,0.334132942,0.004563751,0.290524369,0.039044822,18384000,%
Zimbabwe,0.2929,11.3443,0.0391,0,33.1934,0.5077,1.0837,0.2636,6.6582,2.4114,0.6541,1.523,1.6987,0.0488,0.5467,0.2636,0,0,0.1367,38.6508,0.0293,0.5955,0.0586,12.3,51.3,0.232032564,0.008854202,0.190964139,0.032214223,14863000,%
